,Author,Genre,Topics,Book type,Publisher,Publication date,Publisher's recommended age(s),Number of pages,Available on,Last updated,Illustrator,Authors,Awards,Publishers,Award,Illustrators
1119,Kiersten White,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Book Characters, Monsters, Ghosts, and Vampires",Fiction,Delacorte Press,"November 5, 2019",12 - 17,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 16, 2019",,,,,,
1120,Alice Schertle,Picture Book,"Cars and Trucks, Friendship, Great Boy Role Models, Horses and Farm Animals, Science and Nature",Fiction,HMH Books for Young Readers,"October 15, 2019",4 - 7,32,"Nook, Hardback, iBooks, Kindle","December 10, 2019",Jill McElmurry,,,,,
1121,Kiera Cass,Fantasy,"Magic and Fantasy, Friendship, Misfits and Underdogs",Fiction,HarperTeen,"January 26, 2016",13 - 18,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","September 20, 2019",,,,,,
1122,Benjamin Alire Sáenz,Coming of Age,"Brothers and Sisters, Friendship, Great Boy Role Models, High School",Fiction,Clarion Books,"March 7, 2017",12 - 18,464,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 06, 2020",,,,,,
1123,Catherynne M. Valente,Fantasy,"Magic and Fantasy, Adventures, Fairy Tales, Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Feiwel and Friends,"October 1, 2013",10 - 14,256,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Ana Juan,,,,,
1124,Liesl Shurtliff,Fantasy,"Magic and Fantasy, Adventures, Book Characters, Fairy Tales, Misfits and Underdogs",Fiction,Alfred A. Knopf,"April 9, 2013",8 - 12,272,"Nook, Hardback, iBooks, Kindle","June 20, 2019",,,,,,
1125,Brian K. Vaughan,Science Fiction,"Dinosaurs, Adventures, Great Girl Role Models, Space and Aliens",Fiction,IMAGE,"April 15, 2015",,144,"Paperback, Nook, iBooks, Kindle","January 04, 2017",Cliff Chiang,,,,,
1126,Pat Mora,Picture Book,"Magic and Fantasy, Adventures, Brothers and Sisters, Great Boy Role Models, Great Girl Role Models",Fiction,Rayo,"March 10, 2009",3 - 6,40,,"July 13, 2017",Rafael Lopez,,,,,
1127,Laurie Faria Stolarz,Contemporary Fiction,Friendship,Fiction,Wednesday Books,"January 7, 2020",13 - 18,320,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","January 29, 2020",,,,,,
1128,,Fantasy,"Magic and Fantasy, Superheroes, Brothers and Sisters, Great Boy Role Models, Great Girl Role Models",Fiction,Wednesday Books,"February 26, 2019",12 - 18,320,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,"P.C. Cast, Kristin Cast",,,,
1129,Amy Hest,Picture Book,,Fiction,Candlewick Press,"May 12, 2004",4 - 7,28,,"July 12, 2017",Jill Barton,,,,,
1130,Jessica Lawson,Mystery,"Adventures, Cats, Dogs, and Mice, Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Simon & Schuster,"June 2, 2015",8 - 12,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 13, 2020",Natalie Andrewson,,,,,
1131,Eleanor Coerr,Biography,,Non-Fiction,Puffin,"April 21, 2005",,80,,"July 20, 2018",,,,,,
1132,Kate Brian,Mystery,"Brothers and Sisters, Friendship, High School, Misfits and Underdogs",Fiction,Disney-Hyperion,"January 8, 2013",14 - 17,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
1133,Marissa Meyer,Science Fiction,"Princesses, Fairies, Mermaids, and More, Fairy Tales, Robots, Space and Aliens",Fiction,Feiwel and Friends,"February 5, 2013",12 - 18,464,"Nook, Audiobook (unabridged), Hardback, Kindle","June 19, 2019",,,,,,
1134,Sue Ganz-Schmitt,Picture Book,"Friendship, Space and Aliens",Fiction,Chronicle Books,"May 20, 2014",3 - 5,40,"Nook, Audiobook (unabridged), Hardback, Kindle","June 19, 2019",Shane Prigmore,,,,,
1135,Suzanne Collins,Fantasy,Magic and Fantasy,Fiction,Scholastic Inc.,"January 3, 2005",,320,,"September 19, 2015",,,,,,
1136,Shawn K. Stout,Family Life,"Adventures, Brothers and Sisters, Friendship, History",Fiction,Penguin Group,"August 2, 2012",7 - 10,128,"Paperback, Nook, Hardback, iBooks, Kindle","July 13, 2017",Valeria Docampo,,,,,
1137,Rita Williams-Garcia,Coming of Age,"Book Characters, Brothers and Sisters, Friendship, Great Girl Role Models, History, Misfits and Underdogs",Fiction,Amistad,"May 21, 2013",8 - 12,288,Paperback,"June 19, 2019",,,"ALA Best and Notable Books, Coretta Scott King Medal and Honors",,,
1138,Sherri Duskey Rinker,Picture Book,Cars and Trucks,Fiction,Chronicle Books,"May 4, 2011",4 - 8,32,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","March 04, 2020",Tom Lichtenheld,,,,ALA Best and Notable Books,
1139,Deborah Hopkinson,History,,Non-Fiction,Schwartz & Wade,"February 1, 2006",4 - 7,44,,"July 12, 2017",James Ransome,,,,,
1140,Carole Boston Weatherford,Biography,,Non-Fiction,Jump at the Sun,"September 1, 2006",5 - 7,41,,"July 12, 2017",Kadir Nelson,,"ALA Best and Notable Books, Caldecott Medal and Honors, Coretta Scott King Medal and Honors",,,
1141,Tom Angleberger,School,"Friendship, Misfits and Underdogs, Space and Aliens",Fiction,Abrams,"August 23, 2011",8 - 12,176,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1142,Ezra Jack Keats,Picture Book,"Cats, Dogs, and Mice, Great Boy Role Models",Fiction,Penguin Group,"September 4, 1964",4 - 7,34,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Ezra Jack Keats,,,,,
1143,Carrie Arcos,Historical Fiction,History,Fiction,Philomel,"May 15, 2018",12 - 18,400,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1144,Dan Wells,Science Fiction,"Adventures, Friendship, Misfits and Underdogs, Science and Nature",Fiction,Balzer + Bray,"February 26, 2013",14 - 17,576,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1145,John David Anderson,School,"Friendship, Great Boy Role Models, Great Girl Role Models, Middle School, Misfits and Underdogs",Fiction,Walden Pond Press,"May 2, 2017",8 - 12,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1146,Tehlor Kay Mejia,Fantasy,"Magic and Fantasy, Friendship, Great Girl Role Models",Fiction,Katherine Tegen Books,"February 26, 2019",14 - 17,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","April 16, 2019",,,,,,
1147,Barry Wolverton,Adventure,"Adventures, Friendship, Science and Nature, Wild Animals",Fiction,Walden Pond Press,"March 27, 2012",8 - 12,304,,"June 19, 2019",Sam Nielson,,,,,
1148,Tim Green,Contemporary Fiction,"Sports and Martial Arts, High School, Misfits and Underdogs",Fiction,Harper,"March 4, 2014",10 - 14,320,"Nook, Hardback, Kindle","October 09, 2019",,,,,,
1149,M.T. Anderson,Historical Fiction,,Fiction,Candlewick Press,"October 1, 2006",14 - 18,351,,"July 22, 2019",,,,,,
1150,Anne Cameron,Fantasy,"Magic and Fantasy, Adventures, Friendship, Science and Nature",Fiction,Greenwillow Books,"May 27, 2014",8 - 12,432,"Nook, Hardback, Kindle","June 20, 2019",,,,,,
1151,Doreen Cronin,For Beginning Readers,"Brothers and Sisters, Friendship, Horses and Farm Animals",Fiction,Atheneum,"September 30, 2014",7 - 10,112,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 13, 2019",Kevin Cornell,,,,,
1152,Ben Hatke,Picture Book,"Magic and Fantasy, Adventures, Friendship, Great Boy Role Models, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,First Second,"June 7, 2016",4 - 8,40,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Ben Hatke,,,,,
1153,Sherry Thomas,Fantasy,"Magic and Fantasy, Adventures, Friendship",Fiction,Balzer + Bray,"September 16, 2014",12 - 17,432,"Audiobook (unabridged), Audiobook (abridged), Hardback, Kindle","June 19, 2019",,,,,,
1154,Mo Willems,For Beginning Readers,"Friendship, Horses and Farm Animals",Fiction,Disney-Hyperion,"October 15, 2013",4 - 8,64,Hardback,"June 19, 2019",Mo Willems,,,,,
1155,Norma Howe,Coming of Age,,Fiction,HarperCollins Children's Books,"January 1, 1999",12 - 14,230,,"July 12, 2017",,,,,,
1156,Eric Litwin,Holiday,"Cars and Trucks, Adventures, Holidays",Fiction,Harper Press,"September 25, 2012",4 - 8,40,Hardback,"July 13, 2017",James Dean,,,,,
1157,Lane Smith,Picture Book,,Fiction,Roaring Brook Press,"August 30, 2011",5 - 8,32,,"July 13, 2017",Lane Smith,,,,Caldecott Medal and Honors,
1158,Laura Amy Schlitz,Fantasy,"Magic and Fantasy, Arts and Dance, Book Characters, Brothers and Sisters, Friendship, Great Girl Role Models, History",Fiction,Candlewick Press,"August 28, 2012",9 - 12,400,"Nook, Audiobook (unabridged), Hardback, Kindle","June 19, 2019",,,,,Newbery Medal and Honors,
1159,Marion Dane Bauer,Picture Book,"STEM, Dinosaurs, Science and Nature, Space and Aliens",Non-Fiction,Candlewick Press,"September 4, 2018",4 - 8,40,Hardback,"June 22, 2019",Ekua Holmes,,,,Coretta Scott King Medal and Honors,
1160,Cynthia Rylant,Holiday,,Fiction,Harcourt,"November 1, 2008",3 - 7,40,"Paperback, Hardback","November 04, 2019",Lauren Stringer,,,,,
1161,Ann Brashares,Science Fiction,"High School, Misfits and Underdogs, Science and Nature",Fiction,Delacorte Press,"April 8, 2014",12 - 18,242,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
1162,PewDiePie,Advice,"Friendship, Misfits and Underdogs",Non-Fiction,Razorbill,"October 20, 2015",14 - 18,240,"Paperback, Nook, iBooks, Kindle","July 13, 2017",,,,,,
1163,Rosaria Munda,Fantasy,"Magic and Fantasy, Friendship",Fiction,G.P. Putnam's Sons,"October 15, 2019",12 - 17,448,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 08, 2019",,,,,,
1164,Hafsah Faizal,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Misfits and Underdogs, Monsters, Ghosts, and Vampires, Ocean Creatures",Fiction,"Farrar, Straus and Giroux","May 14, 2019",,480,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","December 13, 2019",,,,,,
1165,Elizabeth Norris,Science Fiction,"Adventures, Brothers and Sisters, Great Girl Role Models, High School, Space and Aliens",Fiction,Balzer + Bray,"April 24, 2012",13 - 17,464,,"June 19, 2019",,,,,,
1166,Hans Christian Andersen,Fairy Tale,,Fiction,William Morrow,"January 1, 1999",,32,,"July 15, 2015",Jerry Pinkney,,,,,
1167,Jonathan Stroud,Fantasy,"Magic and Fantasy, Monsters, Ghosts, and Vampires",Fiction,Hyperion Books for Children,"June 9, 2004",10 - 14,464,"Paperback, iBooks, Kindle","June 19, 2019",,,,,,
1168,Chris Colfer,Humor,"Friendship, High School, Misfits and Underdogs",Fiction,"Little, Brown and Company","November 20, 2012",15 - 18,272,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1169,T. A. Barron,Picture Book,,Fiction,Penguin Group,"November 19, 2004",,32,,"September 24, 2015",Ted Lewin,,,,,
1170,Charles R. Smith Jr.,Coming of Age,,Fiction,Candlewick Press,"September 23, 2008",14,384,,"July 13, 2017",,,,,,
1171,Brigid Kemmerer,Coming of Age,"Sports and Martial Arts, High School, Misfits and Underdogs",Fiction,Bloomsbury USA,"March 6, 2018",14 - 18,416,"Paperback, Nook, Hardback, Kindle","June 19, 2019",,,,,,
1172,Cecily Kaiser,Picture Book,,Fiction,Scholastic Inc.,"October 25, 2007",4 - 7,24,,"July 13, 2017",Brian Schatell,,,,,
1173,Lisa Graff,Emotions,"Sports and Martial Arts, Brothers and Sisters, Friendship, Middle School, Misfits and Underdogs",Fiction,Philomel,"May 26, 2015",8 - 12,304,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1174,Laura Sibson,Coming of Age,High School,Fiction,Viking,"June 18, 2019",,400,"Nook, Audiobook (unabridged), Hardback, Kindle","August 22, 2019",,,,,,
1175,Judd Winick,Graphic Novel,"Superheroes, Adventures, Friendship, Great Boy Role Models, Misfits and Underdogs, Robots, Space and Aliens",Fiction,Random House Children's Books,"September 1, 2015",8 - 12,193,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Judd Winick,,,,,
1176,Kiersten White,Science Fiction,"Magic and Fantasy, Book Characters, Brothers and Sisters, Misfits and Underdogs",Fiction,HarperTeen,"February 18, 2014",12 - 18,232,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1177,Teri Kanefield,Biography,"Activism, Great Girl Role Models, History, Misfits and Underdogs",Non-Fiction,Abrams Books for Young Readers,"March 26, 2019",10 - 14,240,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1178,Ransom Riggs,Fantasy,Magic and Fantasy,Fiction,Quirk Books,"June 7, 2011",,352,,"June 19, 2019",,,,,,
1179,Robert D. San Souci,Folklore,,Fiction,Penguin Group,"January 1, 1989",4 - 7,32,,"July 12, 2017",Jerry Pinkney,,,,Coretta Scott King Medal and Honors,
1180,Alan Snow,Fantasy,"Adventures, Friendship, Misfits and Underdogs, Pirates",Fiction,Atheneum,"July 1, 2006",8 - 14,544,"Paperback, Nook, Hardback, iBooks, Kindle","June 19, 2019",Alan Snow,,,,,
1181,Marsha Diane Arnold,Picture Book,"Adventures, Friendship, Great Girl Role Models, Ocean Creatures, Science and Nature, Wild Animals",Non-Fiction,Children's Book Press,"September 18, 2018",3 - 5,40,Hardback,"November 23, 2018",Angela Dominguez,,,,,
1182,Patricia MacLachlan,Family Life,,Fiction,HarperCollins Children's Books,"August 5, 2004",,144,,"July 15, 2015",,,,,,
1183,Goldy Moldavsky,Mystery,Friendship,Fiction,Point,"February 23, 2016",14 - 17,320,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1184,Scott Kelly,Picture Book,"STEM, Brothers and Sisters, Great Boy Role Models, Science and Nature, Space and Aliens",Non-Fiction,Crown Books for Young Readers,"October 17, 2017",5 - 8,48,Hardback,"June 19, 2019",André Ceolin,,,,,
1185,,Arts,"Arts and Dance, History, Misfits and Underdogs, Music and Sing-Along",Non-Fiction,Tundra Books,"November 8, 2013",9 - 12,127,"Nook, Hardback, iBooks","June 19, 2019",Various illustrators,"Robbie Robertson, Jim Guerinot, Sebastian Robertson, Jared Levine",,,,
1186,Lynne Rae Perkins,Picture Book,,Fiction,Greenwillow Books,"April 27, 2008",4 - 7,32,,"March 04, 2020",Lynne Rae Perkins,,,,,
1187,Jasmine Warga,Coming of Age,"Book Characters, Great Girl Role Models, Middle School, Misfits and Underdogs",Fiction,Balzer + Bray,"May 28, 2019",9 - 16,342,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 04, 2020",,,"ALA Best and Notable Books, Newbery Medal and Honors",,,
1188,Megan Jean Severn,Contemporary Fiction,"Brothers and Sisters, Great Girl Role Models",Fiction,Chronicle Books,"March 16, 2014",,224,"Nook, Hardback, Kindle","July 15, 2015",,,,,,
1189,Gail Shepherd,Coming of Age,"Activism, Sports and Martial Arts, Great Boy Role Models, Great Girl Role Models, History, Horses and Farm Animals, Middle School, Misfits and Underdogs",Fiction,Kathy Dawson Books,"March 26, 2019",9 - 18,304,"Hardback, Kindle","April 26, 2019",,,,,,
1190,Amy Reed,Contemporary Fiction,,Fiction,Simon Pulse,"October 6, 2009",13 - 17,232,,"June 19, 2019",,,,,,
1191,Kathy Wollard,Science,,Non-Fiction,Workman Publishing Co.,"October 1, 1999",9 - 12,332,,"July 12, 2017",Debra Solomon,,,,,
1192,Melba Pattillo Beals,Autobiography,"Activism, Book Characters, Great Girl Role Models, History, Middle School, Misfits and Underdogs",Non-Fiction,Houghton Mifflin Harcourt,"January 2, 2018",,224,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","March 29, 2019",Frank Morrison,,,,,
1193,Kathleen Duey,Fantasy,,Fiction,Atheneum,"July 1, 2007",12,357,,"July 13, 2017",,,,,,
1194,Jane Austen,Literary Fiction,"Book Characters, Brothers and Sisters, Friendship",Fiction,W. W. Norton & Co.,"January 1, 1811",,352,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1195,D. J. MacHale,Fantasy,"Magic and Fantasy, Adventures, Friendship, History, Misfits and Underdogs",Fiction,,"September 1, 2002",10 - 15,384,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle, App","June 19, 2019",,,,"Aladdin, Simon & Schuster",,
1196,Marie Lu,Science Fiction,"Sports and Martial Arts, Adventures, Friendship",Fiction,Putnam Juvenile,"January 29, 2013",12 - 17,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1197,Suzanne Young,Science Fiction,"Brothers and Sisters, Friendship, High School, Misfits and Underdogs, Science and Nature",Fiction,Simon Pulse,"April 30, 2013",14 - 18,416,"Nook, Hardback, Kindle","June 11, 2018",,,,,,
1198,Elizabeth Kox,Fantasy,,Fiction,"Farrar, Straus and Giroux","February 1, 2007",12 - 17,449,,"July 12, 2017",,,,,,
1199,Stuart Gibbs,Mystery,"STEM, Adventures, Brothers and Sisters, Great Girl Role Models",Fiction,Simon & Schuster Books for Young Readers,"September 17, 2019",10 - 18,400,"Audiobook (unabridged), Hardback, iBooks, Kindle","September 20, 2019",,,,,,
1200,Rebecca Hazell,History,,Non-Fiction,Abbeville Publishing Group,"January 1, 1996",,79,,"April 21, 2016",Rebecca Hazell,,,,,
1201,Danielle Paige,Fantasy,"Magic and Fantasy, Book Characters, Fairy Tales, Great Girl Role Models, Monsters, Ghosts, and Vampires",Fiction,HarperCollins Publishers,"April 1, 2014",12 - 17,464,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1202,Crystal Allen,Friendship,"Brothers and Sisters, Friendship, Great Girl Role Models",Fiction,Balzer + Bray,"January 26, 2015",8 - 12,240,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",Eda Kaban,,,,,
1203,,Graphic Novel,"Adventures, Friendship, Great Girl Role Models, Robots",Fiction,Random House Books for Young Readers,"May 2, 2017",8 - 12,256,"Paperback, Nook, Hardback, iBooks, Kindle","June 19, 2019",,"Mark Siegel, Alexis Siegel",,,,"Xanthe Bouma, Boya Sun, Matt Rockerfeller"
1204,Lynne Truss,Learning,,Non-Fiction,Penguin Group,"September 10, 2006",4 - 7,32,,"July 12, 2017",Bonnie Timmons,,,,,
1205,Kate Schatz,Biography,"Activism, Great Girl Role Models, History, Middle School",Non-Fiction,Ten Speed Press,"July 17, 2018",8 - 12,112,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Miriam Klein Stahl,,,,,
1206,Ellen Hopkins,Coming of Age,"Brothers and Sisters, High School, Misfits and Underdogs",Fiction,Simon & Schuster,"August 26, 2014",14 - 18,560,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1207,Sarah Stewart,Adventure,,Fiction,"Farrar, Straus and Giroux","October 1, 1997",,32,,"September 22, 2015",David Small,,,,Caldecott Medal and Honors,
1208,Clare Turlay Newberry,Picture Book,,Fiction,HarperCollins Children's Books,"January 8, 2008",4 - 7,32,,"March 04, 2020",Clare Turlay Newberry,,,,Caldecott Medal and Honors,
1209,Brian Conaghan,Coming of Age,"Friendship, High School, Misfits and Underdogs",Fiction,Bloomsbury USA,"June 10, 2014",14 - 18,368,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
1210,Elizabeth Ross,Historical Fiction,"Friendship, History, Misfits and Underdogs",Fiction,Random House Children's Books,"June 11, 2013",12 - 17,336,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
1211,Kate Beaton,Picture Book,Brothers and Sisters,Fiction,Arthur A. Levine,"September 13, 2016",4 - 8,40,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Kate Beaton,,,,,
1212,Kate Allen,Coming of Age,"Friendship, Great Boy Role Models, Great Girl Role Models, Middle School, Misfits and Underdogs, Ocean Creatures, Science and Nature",Fiction,Penguin Young Readers Group,"April 16, 2019",10 - 18,384,"Nook, Audiobook (unabridged), Hardback, Kindle","May 23, 2019",,,,,,
1213,Joyce Carol Oates,Coming of Age,"Friendship, High School, Misfits and Underdogs",Fiction,HarperTeen,"August 21, 2012",14 - 17,288,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
1214,Simms Taback,Picture Book,,Fiction,Penguin Group,"September 1, 1997",,32,,"July 15, 2015",Simms Taback,,,,,
1215,David Van Etten,Contemporary Fiction,,Fiction,Knopf,"May 13, 2008",12 - 17,240,,"July 13, 2017",,,,,,
1216,Sally Lloyd-Jones,Picture Book,,Fiction,Harper,"December 27, 2011",3 - 7,32,,"July 13, 2017",Frank Endersby,,,,,
1217,Raina Telgemeier,Graphic Novel,"Friendship, Great Girl Role Models, Middle School, Misfits and Underdogs",Non-Fiction,Graphix,"September 17, 2019",,144,"Paperback, Nook, iBooks, Kindle","September 20, 2019",Raina Telgemeier,,,,,
1218,Rick Riordan,Fantasy,"Magic and Fantasy, Adventures, Friendship, Holidays, Misfits and Underdogs, Monsters, Ghosts, and Vampires, Ocean Creatures",Fiction,Disney-Hyperion,"October 3, 2017",10 - 14,432,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","January 12, 2020",,,,,,
1219,Mariah Fredericks,Friendship,"Magic and Fantasy, Adventures, Friendship, High School, Misfits and Underdogs",Fiction,Schwartz & Wade,"October 8, 2013",14 - 17,256,"Nook, Hardback, iBooks, Kindle","June 20, 2019",,,,,,
1220,Tone Almhiell,Fantasy,"Magic and Fantasy, Adventures, Cats, Dogs, and Mice, Friendship",Fiction,Dial Books,"October 22, 2013",8 - 12,368,"Hardback, iBooks, Kindle","July 13, 2017",Ian Schoenherr,,,,,
1221,Tony Abbott,School,,Fiction,"Little, Brown and Company","June 1, 2006",,145,,"June 08, 2016",,,,,,
1222,,For Beginning Readers,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Great Girl Role Models, Horses and Farm Animals",Fiction,Candlewick,"February 9, 2016",5 - 8,96,Hardback,"August 22, 2019",LeUyen Pham,"Shannon Hale, Dean Hale",,,,
1223,Andrea Beaty,Science,"STEM, Friendship, Great Girl Role Models, Science and Nature",Fiction,Amulet Books,"October 2, 2018",6 - 9,144,"Nook, Hardback, iBooks, Kindle","June 19, 2019",David Roberts,,,,,
1224,Cecil Castellucci,Coming of Age,,Fiction,Candlewick Press,"June 15, 2007",,320,,"September 28, 2015",,,,,,
1225,,Coming of Age,"Friendship, High School, Misfits and Underdogs",Fiction,,"July 21, 2014",12 - 18,272,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Keino,"James Patterson, Lisa Papademetriou",,,,
1226,Jeanne Birdsall,Family Life,"Brothers and Sisters, Cats, Dogs, and Mice, Friendship",Fiction,Alfred A. Knopf,"March 24, 2015",8 - 12,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1227,Jon J Muth,Picture Book,,Fiction,Scholastic Inc.,"March 1, 2003",4 - 7,40,,"July 12, 2017",Jon J. Muth,,,,Caldecott Medal and Honors,
1228,Andrea Davis Pinkney,History,"Activism, Great Boy Role Models, History, Misfits and Underdogs",Non-Fiction,Hyperion Book CH,"October 23, 2012",9 - 14,256,"Nook, Hardback, Kindle","March 29, 2019",Brian Pinkney,,,,Coretta Scott King Medal and Honors,
1229,Stuart Gibbs,Mystery,"Adventures, Science and Nature, Wild Animals",Fiction,Simon & Schuster Books for Young Readers,"April 8, 2014",8 - 12,336,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
1230,Anna Dewdney,Picture Book,Great Girl Role Models,Fiction,Viking Books for Young Readers,"September 1, 2015",3 - 5,40,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Anna Dewdney,,,,,
1231,Lauren Oliver,Fantasy,Friendship,Fiction,HarperCollins Children's Books,"February 28, 2012",,384,,"June 19, 2019",,,,,,
1232,Philip C. Stead,Picture Book,"Adventures, Friendship, Great Girl Role Models, Ocean Creatures",Fiction,Roaring Brook Press,"August 15, 2017",3 - 6,40,"Nook, Hardback, Kindle","June 19, 2019",Matthew Cordell,,,,,
1233,E. Lockhart,Contemporary Fiction,"Adventures, Friendship, High School",Fiction,Delacorte Press,"September 5, 2017",,264,,"June 15, 2018",,,,,,
1234,Ann Dee Ellis,Contemporary Fiction,"Friendship, Great Boy Role Models, High School",Fiction,Dial Books,"May 1, 2014",,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 15, 2015",,,,,,
1235,Veronica Roth,Fantasy,"Book Characters, Friendship",Fiction,Katherine Tegen Books,"July 8, 2014",14 - 18,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
1236,Mark Reibstein,Activity,,Fiction,"Little, Brown Books for Young Readers","October 1, 2008",4 - 7,40,,"July 13, 2017",Ed Young,,,,,
1237,Jennifer Armstrong,Biography,,Non-Fiction,,"January 1, 1998",,128,,"August 04, 2015",Frank Hurley,,,,,
1238,Patrick Samphire,Science Fiction,"Magic and Fantasy, Adventures, Brothers and Sisters, Robots, Space and Aliens",Fiction,"Henry Holt & Company, Inc.","January 12, 2016",,336,"Nook, Hardback, Kindle","June 06, 2016",Jeremy Holmes,,,,,
1239,Pablo Cartaya,Family Life,"Activism, Friendship, Great Girl Role Models, History, Middle School",Fiction,Kokila,"August 6, 2019",10 - 12,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 04, 2020",,,,,ALA Best and Notable Books,
1240,Jamie Lee Curtis,Picture Book,,Fiction,Feiwel & Friends,"September 4, 2018",4 - 8,40,"Hardback, iBooks, Kindle","November 10, 2018",Laura Cornell,,,,,
1241,Patricia MacLachlan,Family Life,,Fiction,HarperCollins Children's Books,"August 5, 2004",,80,,"September 23, 2015",,,,,,
1242,Rae Carson,Historical Fiction,"Magic and Fantasy, Adventures, Great Girl Role Models, History, Horses and Farm Animals",Fiction,Greenwillow Books,"September 22, 2015",13 - 17,448,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
1243,Varian Johnson,Mystery,"Adventures, Friendship, Great Boy Role Models, Great Girl Role Models, History",Fiction,Arthur A. Levine,"March 27, 2018",8 - 12,352,"Nook, Audiobook (abridged), iBooks, Kindle","June 19, 2019",,,,,Coretta Scott King Medal and Honors,
1244,Cindy Jenson-Elliott,Picture Book,"Arts and Dance, Great Boy Role Models, History, Science and Nature",Non-Fiction,Christy Ottaviano Books,"September 6, 2016",5 - 9,32,"Nook, Hardback, iBooks, Kindle","July 13, 2017",Christy Hale,,,,,
1245,Amy Rose Capetta,Science Fiction,"Friendship, Misfits and Underdogs, Space and Aliens",Fiction,Houghton Mifflin Harcourt,"October 1, 2013",14 - 17,336,"Nook, Hardback, Kindle","July 13, 2017",,,,,,
